T28,Water supply and sanitation services,,,,,
1,"Total, all countries or areas",2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",56.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
1,"Total, all countries or areas",2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",35.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
1,"Total, all countries or areas",2015,"Safely managed sanitation facilities, total (Proportion of population with access)",47.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
1,"Total, all countries or areas",2020,"Safely managed drinking water sources, urban (Proportion of population with access)",85.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
1,"Total, all countries or areas",2020,"Safely managed drinking water sources, rural (Proportion of population with access)",59.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
1,"Total, all countries or areas",2020,"Safely managed drinking water sources, total (Proportion of population with access)",74.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
1,"Total, all countries or areas",2020,"Safely managed sanitation facilities, urban (Proportion of population with access)",61.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
1,"Total, all countries or areas",2020,"Safely managed sanitation facilities, rural (Proportion of population with access)",44.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
1,"Total, all countries or areas",2020,"Safely managed sanitation facilities, total (Proportion of population with access)",54.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
15,Northern Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",84.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
15,Northern Africa,2010,"Safely managed drinking water sources, total (Proportion of population with access)",75.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
15,Northern Africa,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",35.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
15,Northern Africa,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",24.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
15,Northern Africa,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",84.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
15,Northern Africa,2015,"Safely managed drinking water sources, total (Proportion of population with access)",77.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
15,Northern Africa,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",38.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
15,Northern Africa,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",27.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
15,Northern Africa,2020,"Safely managed drinking water sources, urban (Proportion of population with access)",83.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
15,Northern Africa,2020,"Safely managed drinking water sources, total (Proportion of population with access)",78.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
15,Northern Africa,2020,"Safely managed sanitation facilities, urban (Proportion of population with access)",40.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
15,Northern Africa,2020,"Safely managed sanitation facilities, total (Proportion of population with access)",31.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
202,Sub-Saharan Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",46.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
202,Sub-Saharan Africa,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",9.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
202,Sub-Saharan Africa,2010,"Safely managed drinking water sources, total (Proportion of population with access)",22.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
202,Sub-Saharan Africa,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",19.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
202,Sub-Saharan Africa,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",16.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
202,Sub-Saharan Africa,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",17.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
202,Sub-Saharan Africa,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",51.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
202,Sub-Saharan Africa,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",11.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
202,Sub-Saharan Africa,2015,"Safely managed drinking water sources, total (Proportion of population with access)",26.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
202,Sub-Saharan Africa,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",21.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
202,Sub-Saharan Africa,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",18.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
202,Sub-Saharan Africa,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",19.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
202,Sub-Saharan Africa,2020,"Safely managed drinking water sources, urban (Proportion of population with access)",53.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
202,Sub-Saharan Africa,2020,"Safely managed drinking water sources, rural (Proportion of population with access)",13.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
202,Sub-Saharan Africa,2020,"Safely managed drinking water sources, total (Proportion of population with access)",30.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
202,Sub-Saharan Africa,2020,"Safely managed sanitation facilities, urban (Proportion of population with access)",23.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
202,Sub-Saharan Africa,2020,"Safely managed sanitation facilities, rural (Proportion of population with access)",19.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
202,Sub-Saharan Africa,2020,"Safely managed sanitation facilities, total (Proportion of population with access)",21.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
14,Eastern Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",46.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
14,Eastern Africa,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",6.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
14,Eastern Africa,2010,"Safely managed drinking water sources, total (Proportion of population with access)",16.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
14,Eastern Africa,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",24.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
14,Eastern Africa,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",14.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
14,Eastern Africa,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",17.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
14,Eastern Africa,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",53.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
14,Eastern Africa,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",8.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
14,Eastern Africa,2015,"Safely managed drinking water sources, total (Proportion of population with access)",20.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
14,Eastern Africa,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",25.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
14,Eastern Africa,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",16.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
14,Eastern Africa,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",18.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
14,Eastern Africa,2020,"Safely managed drinking water sources, urban (Proportion of population with access)",60.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
14,Eastern Africa,2020,"Safely managed drinking water sources, rural (Proportion of population with access)",11.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
14,Eastern Africa,2020,"Safely managed drinking water sources, total (Proportion of population with access)",25.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
14,Eastern Africa,2020,"Safely managed sanitation facilities, urban (Proportion of population with access)",27.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
14,Eastern Africa,2020,"Safely managed sanitation facilities, rural (Proportion of population with access)",17.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
14,Eastern Africa,2020,"Safely managed sanitation facilities, total (Proportion of population with access)",20.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
17,Middle Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",36.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
17,Middle Africa,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",2.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
17,Middle Africa,2010,"Safely managed drinking water sources, total (Proportion of population with access)",17.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
17,Middle Africa,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",27.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
17,Middle Africa,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",15.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
17,Middle Africa,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",21.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
17,Middle Africa,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",42.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
17,Middle Africa,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",3.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
17,Middle Africa,2015,"Safely managed drinking water sources, total (Proportion of population with access)",21.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
17,Middle Africa,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",27.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
17,Middle Africa,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",14.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
17,Middle Africa,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",20.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
17,Middle Africa,2020,"Safely managed drinking water sources, urban (Proportion of population with access)",47.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
17,Middle Africa,2020,"Safely managed drinking water sources, rural (Proportion of population with access)",3.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
17,Middle Africa,2020,"Safely managed drinking water sources, total (Proportion of population with access)",25.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
17,Middle Africa,2020,"Safely managed sanitation facilities, urban (Proportion of population with access)",26.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
17,Middle Africa,2020,"Safely managed sanitation facilities, rural (Proportion of population with access)",12.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
17,Middle Africa,2020,"Safely managed sanitation facilities, total (Proportion of population with access)",19.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
18,Southern Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",87.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
18,Southern Africa,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",84.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
18,Southern Africa,2020,"Safely managed drinking water sources, urban (Proportion of population with access)",81.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
11,Western Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",33.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
11,Western Africa,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",12.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
11,Western Africa,2010,"Safely managed drinking water sources, total (Proportion of population with access)",21.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
11,Western Africa,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",20.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
11,Western Africa,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",16.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
11,Western Africa,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",17.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
11,Western Africa,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",33.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
11,Western Africa,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",14.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
11,Western Africa,2015,"Safely managed drinking water sources, total (Proportion of population with access)",23.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
11,Western Africa,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",22.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
11,Western Africa,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",17.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
11,Western Africa,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",20.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
11,Western Africa,2020,"Safely managed drinking water sources, urban (Proportion of population with access)",34.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
11,Western Africa,2020,"Safely managed drinking water sources, rural (Proportion of population with access)",16.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
11,Western Africa,2020,"Safely managed drinking water sources, total (Proportion of population with access)",25.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
11,Western Africa,2020,"Safely managed sanitation facilities, urban (Proportion of population with access)",25.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
11,Western Africa,2020,"Safely managed sanitation facilities, rural (Proportion of population with access)",19.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
11,Western Africa,2020,"Safely managed sanitation facilities, total (Proportion of population with access)",22.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
21,Northern America,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",96.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
21,Northern America,2010,"Safely managed drinking water sources, total (Proportion of population with access)",95.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
21,Northern America,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",91.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
21,Northern America,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",76.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
21,Northern America,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",96.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
21,Northern America,2015,"Safely managed drinking water sources, total (Proportion of population with access)",96.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
